,id,Geographic Area Name,Estimate_RACE_Total population,ME_RACE_Total population,PT Estimate_RACE_Total population,PT ME_RACE_Total population,Estimate_RACE_Total population_One race,ME_RACE_Total population_One race,PT Estimate_RACE_Total population_One race,PT ME_RACE_Total population_One race,Estimate_RACE_Total population_Two or more races,ME_RACE_Total population_Two or more races,PT Estimate_RACE_Total population_Two or more races,PT ME_RACE_Total population_Two or more races,Estimate_RACE_Total population_One race,ME_RACE_Total population_One race,PT Estimate_RACE_Total population_One race,PT ME_RACE_Total population_One race,Estimate_RACE_Total population_One race_White,ME_RACE_Total population_One race_White,PT Estimate_RACE_Total population_One race_White,PT ME_RACE_Total population_One race_White,Estimate_RACE_Total population_One race_Black or African American,ME_RACE_Total population_One race_Black or African American,PT Estimate_RACE_Total population_One race_Black or African American,PT ME_RACE_Total population_One race_Black or African American,Estimate_RACE_Total population_One race_American Indian and Alaska Native,ME_RACE_Total population_One race_American Indian and Alaska Native,PT Estimate_RACE_Total population_One race_American Indian and Alaska Native,PT ME_RACE_Total population_One race_American Indian and Alaska Native,Estimate_RACE_Total population_One race_Asian,ME_RACE_Total population_One race_Asian,PT Estimate_RACE_Total population_One race_Asian,PT ME_RACE_Total population_One race_Asian,Estimate_RACE_Total population_One race_Native Hawaiian and Other Pacific Islander,ME_RACE_Total population_One race_Native Hawaiian and Other Pacific Islander,PT Estimate_RACE_Total population_One race_Native Hawaiian and Other Pacific Islander,PT ME_RACE_Total population_One race_Native Hawaiian and Other Pacific Islander,Estimate_RACE_Total population_One race_Some other race,ME_RACE_Total population_One race_Some other race,PT Estimate_RACE_Total population_One race_Some other race,PT ME_RACE_Total population_One race_Some other race,Estimate_RACE_Total population_Two or more races,ME_RACE_Total population_Two or more races,PT Estimate_RACE_Total population_Two or more races,PT ME_RACE_Total population_Two or more races,Estimate_RACE_Total population_Two or more races_White and Black or African American,ME_RACE_Total population_Two or more races_White and Black or African American,PT Estimate_RACE_Total population_Two or more races_White and Black or African American,PT ME_RACE_Total population_Two or more races_White and Black or African American,Estimate_RACE_Total population_Two or more races_White and American Indian and Alaska Native,ME_RACE_Total population_Two or more races_White and American Indian and Alaska Native,PT Estimate_RACE_Total population_Two or more races_White and American Indian and Alaska Native,PT ME_RACE_Total population_Two or more races_White and American Indian and Alaska Native,Estimate_RACE_Total population_Two or more races_White and Asian,ME_RACE_Total population_Two or more races_White and Asian,PT Estimate_RACE_Total population_Two or more races_White and Asian,PT ME_RACE_Total population_Two or more races_White and Asian,Estimate_RACE_Total population_Two or more races_Black or African American and American Indian and Alaska Native,ME_RACE_Total population_Two or more races_Black or African American and American Indian and Alaska Native,PT Estimate_RACE_Total population_Two or more races_Black or African American and American Indian and Alaska Native,PT ME_RACE_Total population_Two or more races_Black or African American and American Indian and Alaska Native,Estimate_HISPANIC OR LATINO AND RACE_Total population,ME_HISPANIC OR LATINO AND RACE_Total population,PT Estimate_HISPANIC OR LATINO AND RACE_Total population,PT ME_HISPANIC OR LATINO AND RACE_Total population,Estimate_HISPANIC OR LATINO AND RACE_Total population_Hispanic or Latino (of any race),ME_HISPANIC OR LATINO AND RACE_Total population_Hispanic or Latino (of any race),PT Estimate_HISPANIC OR LATINO AND RACE_Total population_Hispanic or Latino (of any race),PT ME_HISPANIC OR LATINO AND RACE_Total population_Hispanic or Latino (of any race)
0,0100000US,United States,322903030,*****,322903030,(X),312467233,95465,96.8,0.1,10435797,95419,3.2,0.1,312467233,95465,96.8,0.1,234904818,49642,72.7,0.1,40916113,31375,12.7,0.1,2699073,12129,0.8,0.1,17574550,20968,5.4,0.1,582718,5451,0.2,0.1,15789961,90295,4.9,0.1,10435797,95419,3.2,0.1,2808897,31046,0.9,0.1,1914487,12184,0.6,0.1,2174150,26032,0.7,0.1,313482,7086,0.1,0.1,322903030,*****,322903030,(X),57517935,1657,17.8,0.1
1,8600000US10001,ZCTA5 10001,22924,1190,22924,(X),22326,1189,97.4,1.1,598,264,2.6,1.1,22326,1189,97.4,1.1,14422,1209,62.9,4.4,1413,376,6.2,1.6,36,42,0.2,0.2,5774,861,25.2,3.5,20,34,0.1,0.1,661,342,2.9,1.5,598,264,2.6,1.1,47,40,0.2,0.2,53,66,0.2,0.3,221,122,1.0,0.5,0,22,0.0,0.1,22924,1190,22924,(X),3246,711,14.2,2.9
2,8600000US10002,ZCTA5 10002,74993,1909,74993,(X),72085,1844,96.1,1.1,2908,846,3.9,1.1,72085,1844,96.1,1.1,24168,1590,32.2,2.0,6283,825,8.4,1.1,680,396,0.9,0.5,31089,1533,41.5,1.7,24,41,0.0,0.1,9841,1248,13.1,1.7,2908,846,3.9,1.1,1139,714,1.5,0.9,269,141,0.4,0.2,894,381,1.2,0.5,2,4,0.0,0.1,74993,1909,74993,(X),20390,1130,27.2,1.4
3,8600000US10003,ZCTA5 10003,54682,1754,54682,(X),53420,1729,97.7,0.5,1262,293,2.3,0.5,53420,1729,97.7,0.5,41511,1553,75.9,2.3,3178,1033,5.8,1.8,88,64,0.2,0.1,7373,731,13.5,1.3,55,75,0.1,0.1,1215,582,2.2,1.1,1262,293,2.3,0.5,230,126,0.4,0.2,0,28,0.0,0.1,543,208,1.0,0.4,0,28,0.0,0.1,54682,1754,54682,(X),4506,844,8.2,1.5
4,8600000US10004,ZCTA5 10004,3028,442,3028,(X),2932,430,96.8,1.8,96,57,3.2,1.8,2932,430,96.8,1.8,1902,364,62.8,8.0,51,49,1.7,1.7,0,12,0.0,1.1,922,288,30.4,8.1,17,27,0.6,0.9,40,47,1.3,1.6,96,57,3.2,1.8,16,27,0.5,0.9,5,5,0.2,0.2,74,63,2.4,2.0,0,12,0.0,1.1,3028,442,3028,(X),112,71,3.7,2.4
5,8600000US10005,ZCTA5 10005,8831,762,8831,(X),8408,697,95.2,2.4,423,220,4.8,2.4,8408,697,95.2,2.4,6484,739,73.4,6.0,221,185,2.5,2.0,0,17,0.0,0.4,1497,483,17.0,5.6,0,17,0.0,0.4,206,179,2.3,2.0,423,220,4.8,2.4,0,17,0.0,0.4,12,19,0.1,0.2,285,176,3.2,1.9,0,17,0.0,0.4,8831,762,8831,(X),608,319,6.9,3.4
6,8600000US10006,ZCTA5 10006,3454,410,3454,(X),3269,396,94.6,2.8,185,100,5.4,2.8,3269,396,94.6,2.8,2411,327,69.8,7.3,36,42,1.0,1.2,0,12,0.0,0.9,687,250,19.9,6.5,0,12,0.0,0.9,135,155,3.9,4.4,185,100,5.4,2.8,16,26,0.5,0.7,0,12,0.0,0.9,95,76,2.8,2.2,0,12,0.0,0.9,3454,410,3454,(X),414,212,12.0,5.9
7,8600000US10007,ZCTA5 10007,7023,824,7023,(X),6718,804,95.7,2.6,305,185,4.3,2.6,6718,804,95.7,2.6,5421,685,77.2,4.3,332,159,4.7,2.0,0,17,0.0,0.5,826,280,11.8,3.9,0,17,0.0,0.5,139,82,2.0,1.1,305,185,4.3,2.6,0,17,0.0,0.5,0,17,0.0,0.5,224,164,3.2,2.3,0,17,0.0,0.5,7023,824,7023,(X),580,198,8.3,2.7
8,8600000US10009,ZCTA5 10009,57925,1823,57925,(X),55855,1786,96.4,0.9,2070,526,3.6,0.9,55855,1786,96.4,0.9,35817,1528,61.8,2.0,5431,1036,9.4,1.7,71,59,0.1,0.1,7512,1008,13.0,1.7,0,28,0.0,0.1,7024,984,12.1,1.7,2070,526,3.6,0.9,612,267,1.1,0.5,65,54,0.1,0.1,731,302,1.3,0.5,68,70,0.1,0.1,57925,1823,57925,(X),14347,1215,24.8,1.9
9,8600000US10010,ZCTA5 10010,33730,2033,33730,(X),32992,2041,97.8,0.8,738,255,2.2,0.8,32992,2041,97.8,0.8,24684,1944,73.2,2.7,1784,471,5.3,1.4,230,262,0.7,0.8,5859,835,17.4,2.5,0,25,0.0,0.1,435,227,1.3,0.7,738,255,2.2,0.8,183,209,0.5,0.6,35,59,0.1,0.2,282,132,0.8,0.4,23,32,0.1,0.1,33730,2033,33730,(X),3703,936,11.0,2.7
10,8600000US10011,ZCTA5 10011,50472,1901,50472,(X),48716,1889,96.5,0.8,1756,403,3.5,0.8,48716,1889,96.5,0.8,40331,1805,79.9,2.3,2819,714,5.6,1.4,56,68,0.1,0.1,4627,842,9.2,1.6,5,9,0.0,0.1,878,325,1.7,0.6,1756,403,3.5,0.8,544,277,1.1,0.5,126,124,0.2,0.2,787,259,1.6,0.5,123,126,0.2,0.3,50472,1901,50472,(X),5704,904,11.3,1.7
11,8600000US10012,ZCTA5 10012,23411,989,23411,(X),22413,990,95.7,1.4,998,338,4.3,1.4,22413,990,95.7,1.4,17411,837,74.4,3.0,651,309,2.8,1.3,42,45,0.2,0.2,4055,678,17.3,2.6,0,22,0.0,0.1,254,146,1.1,0.6,998,338,4.3,1.4,143,121,0.6,0.5,110,97,0.5,0.4,527,182,2.3,0.8,0,22,0.0,0.1,23411,989,23411,(X),1494,357,6.4,1.5
12,8600000US10013,ZCTA5 10013,28709,1287,28709,(X),27467,1274,95.7,1.1,1242,327,4.3,1.1,27467,1274,95.7,1.1,15961,1138,55.6,3.1,1260,316,4.4,1.1,62,66,0.2,0.2,9558,968,33.3,3.0,0,22,0.0,0.1,626,310,2.2,1.1,1242,327,4.3,1.1,71,59,0.2,0.2,47,77,0.2,0.3,767,243,2.7,0.9,98,140,0.3,0.5,28709,1287,28709,(X),1728,475,6.0,1.6
